stage,comparison_id,classifier,configuration_id,reference_configuration_id,phase,metric,unit,baseline_mean_across_seeds,reduced_mean_across_seeds,mean_paired_difference,std_paired_difference,ci95_low_paired_difference,ci95_high_paired_difference,mean_relative_change_percent,ci95_low_relative_change_percent,ci95_high_relative_change_percent,beneficial_change_percent,objective_direction,interpretation,scientific_sample_size,statistical_significance_claimed
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__process_cpu_time_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,process_cpu_time_sec,seconds,1.5515697043599999,1.7785386147,0.22696891033999997,0.7797087848028296,-0.7411674168328816,1.1951052375128814,18.89791397943196,-50.1809086706177,87.97673662948162,-18.89791397943196,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__selected_input_bytes,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,selected_input_bytes,bytes,2064132.0,2016132.0,-48000.0,0.0,-48000.0,-48000.0,-2.325432675817244,-2.325432675817244,-2.325432675817244,2.325432675817244,minimize,clear_reduction,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__serialized_model_bytes,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,serialized_model_bytes,bytes,4132.0,4116.0,-16.0,0.0,-16.0,-16.0,-0.38922592029468583,-0.4284364114222066,-0.35001542916716505,0.38922592029468583,minimize,clear_reduction,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__throughput_records_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,throughput_records_sec,records/second,2184640.041072842,2072896.7130959276,-111743.32797691444,465278.65883951896,-689463.0877904778,465976.43183664884,-3.727713917353829,-29.175178220205403,21.719750385497747,-3.727713917353829,maximize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__wall_time_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,wall_time_sec,seconds,1.4759949552801117,1.6873270804600906,0.21133212517997882,0.7033463559122684,-0.6619877232240977,1.0846519735840554,18.145643274255995,-46.63541403211452,82.92670058062652,-18.145643274255995,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__absolute_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,training,absolute_peak_rss_mib,MiB,167.393046875,167.064609375,-0.32843750000000116,0.11207752160718516,-0.4676001235875477,-0.1892748764124546,-0.1961772306413725,-0.2791062869248,-0.11324817435794497,0.1961772306413725,minimize,clear_reduction,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__feature_count,decision_tree,pairwise_correlation_filter_natural,none_natural,training,feature_count,features,43.0,42.0,-1.0,0.0,-1.0,-1.0,-2.3255813953488373,-2.3255813953488373,-2.3255813953488373,2.3255813953488373,minimize,clear_reduction,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__incremental_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,training,incremental_peak_rss_mib,MiB,0.135,0.15250000000000002,0.017499999999999998,0.016770509831248424,-0.003323338288983492,0.03832333828898349,13.272727272727272,-2.920525273129053,29.465979818583598,-13.272727272727272,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_operation_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,training,per_operation_latency_sec,seconds/operation,0.13378691312027513,0.11586775058025522,-0.017919162540019906,0.03753977259174254,-0.06453094666794312,0.02869262158790331,-11.448415781251537,-43.705321380463246,20.80848981796017,11.448415781251537,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_record_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,training,per_record_latency_sec,seconds/record,4.778104040009826e-06,4.13813394929483e-06,-6.399700907149965e-07,1.340706163990805e-06,-2.304676666712254e-06,1.024736485282261e-06,-11.448415781251535,-43.70532138046324,20.808489817960172,11.448415781251535,minimize,uncertain,5,False
