stage,classifier,configuration_id,seed,phase,metric,unit,repetition_count,mean,median,std,min,max,coefficient_of_variation_percent,feature_count,selected_input_bytes,serialized_model_bytes,workload_sha256,environment_id,measurement_provenance,aggregation_scope
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,training,wall_time_sec,seconds,10,0.037257705299816736,0.03703541250069975,0.0021788663281440404,0.03421485399849189,0.042269796000255155,5.848095878719503,11,2464132,3716,8a1ca813143b15f6bdc3161f9b99ecf6f9816ec225e34babc07b09fa2a6f4865,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,training,process_cpu_time_sec,seconds,10,0.03878656810000005,0.038514099499999954,0.002378495315721502,0.03554605199999994,0.044242909000000274,6.13226545228037,11,2464132,3716,8a1ca813143b15f6bdc3161f9b99ecf6f9816ec225e34babc07b09fa2a6f4865,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,training,absolute_peak_rss_mib,MiB,10,157.171484375,157.240234375,0.23004131443646433,156.7890625,157.47265625,0.1463632638905427,11,2464132,3716,8a1ca813143b15f6bdc3161f9b99ecf6f9816ec225e34babc07b09fa2a6f4865,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,training,incremental_peak_rss_mib,MiB,10,2.7625,2.75,0.03952847075210474,2.75,2.875,1.4308948688544703,11,2464132,3716,8a1ca813143b15f6bdc3161f9b99ecf6f9816ec225e34babc07b09fa2a6f4865,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,training,per_operation_latency_sec,seconds/operation,10,0.037257705299816736,0.03703541250069975,0.0021788663281440404,0.03421485399849189,0.042269796000255155,5.848095878719503,11,2464132,3716,8a1ca813143b15f6bdc3161f9b99ecf6f9816ec225e34babc07b09fa2a6f4865,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,training,per_record_latency_sec,seconds/record,10,1.330632332136312e-06,1.3226933035964196e-06,7.781665457657283e-08,1.2219590713747104e-06,1.509635571437684e-06,5.8480958787195005,11,2464132,3716,8a1ca813143b15f6bdc3161f9b99ecf6f9816ec225e34babc07b09fa2a6f4865,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,training,throughput_records_sec,records/second,10,753725.32287673,756033.3996047354,41973.60561295862,662411.5242910323,818358.0149497108,5.568819878939282,11,2464132,3716,8a1ca813143b15f6bdc3161f9b99ecf6f9816ec225e34babc07b09fa2a6f4865,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,inference,wall_time_sec,seconds,10,1.0836034887001005,1.1020161460019153,0.11899017774232579,0.8703212700020231,1.2084080669992545,10.98097034414935,11,528132,3540,e6cc7ea5578bb27bd426f57534be36ab158f44c75443ecbd6372013d5f4ee280,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,inference,process_cpu_time_sec,seconds,10,1.1384987250999998,1.158200041,0.12832485288498088,0.9073959940000003,1.27099613,11.27140944964251,11,528132,3540,e6cc7ea5578bb27bd426f57534be36ab158f44c75443ecbd6372013d5f4ee280,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,inference,absolute_peak_rss_mib,MiB,10,153.03984375,153.03515625,0.24738760951243652,152.50390625,153.359375,0.1616491519140332,11,528132,3540,e6cc7ea5578bb27bd426f57534be36ab158f44c75443ecbd6372013d5f4ee280,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,inference,incremental_peak_rss_mib,MiB,10,0.375,0.375,0.05892556509887896,0.25,0.5,15.713484026367723,11,528132,3540,e6cc7ea5578bb27bd426f57534be36ab158f44c75443ecbd6372013d5f4ee280,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,inference,per_operation_latency_sec,seconds/operation,10,0.0021164130638673838,0.002152375285159991,0.00023240269090298005,0.0016998462304727013,0.002360172005857919,10.98097034414935,11,528132,3540,e6cc7ea5578bb27bd426f57534be36ab158f44c75443ecbd6372013d5f4ee280,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,inference,per_record_latency_sec,seconds/record,10,3.52735510644564e-07,3.587292141933318e-07,3.873378181716335e-08,2.8330770507878354e-07,3.9336200097631985e-07,10.980970344149352,11,528132,3540,e6cc7ea5578bb27bd426f57534be36ab158f44c75443ecbd6372013d5f4ee280,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,inference,throughput_records_sec,records/second,10,2868682.730563671,2788287.147579653,342591.93880829663,2542187.596966692,3529731.038278381,11.9424826997505,11,528132,3540,e6cc7ea5578bb27bd426f57534be36ab158f44c75443ecbd6372013d5f4ee280,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,training,wall_time_sec,seconds,10,0.05229472490009357,0.04914230550002685,0.010332525887602464,0.040899399000409176,0.07449185100085742,19.758256511229828,11,2464132,3540,af456a668638cdce5c3ab654bee66b4beaa6bf4fe4025ed383b43c5afcd18836,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,training,process_cpu_time_sec,seconds,10,0.05410444630000004,0.05141299949999989,0.011247868324057868,0.04252529599999999,0.07758466900000016,20.789175554427327,11,2464132,3540,af456a668638cdce5c3ab654bee66b4beaa6bf4fe4025ed383b43c5afcd18836,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,44,training,absolute_peak_rss_mib,MiB,10,156.946484375,156.93359375,0.18657586568654594,156.69921875,157.25390625,0.11887865244611086,11,2464132,3540,af456a668638cdce5c3ab654bee66b4beaa6bf4fe4025ed383b43c5afcd18836,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
