stage,classifier,configuration_id,phase,metric,unit,seed_count,repetitions_per_seed,mean_within_seed_cv_percent,median_within_seed_cv_percent,max_within_seed_cv_percent,between_seed_mean,between_seed_std,between_seed_cv_percent,variability_level,high_timing_variability,high_variability_threshold_percent,outliers_removed
V0.7-E,decision_tree,pairwise_correlation_filter_natural,inference,absolute_peak_rss_mib,MiB,5,10,0.12125423987318562,0.11112321991390584,0.1639889256930936,155.17265625,0.08016668121697634,0.051662891616561055,low,False,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,inference,incremental_peak_rss_mib,MiB,5,10,16.820682797206455,14.63775428908024,24.802177726810818,0.40499999999999997,0.01425219281373921,3.519059954009682,high,False,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,inference,per_operation_latency_sec,seconds/operation,5,10,24.373664794808946,12.995550061424897,61.364440404187484,0.0032955607040236145,0.001134525798120664,34.425880753326716,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,inference,per_record_latency_sec,seconds/record,5,10,24.373664794808946,12.995550061424893,61.364440404187484,5.492601173372691e-07,1.8908763302011068e-07,34.42588075332672,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,inference,process_cpu_time_sec,seconds,5,10,24.156905761554484,11.976184077756725,62.56136850185218,1.7785386147,0.643626964972756,36.18852914707851,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,inference,throughput_records_sec,records/second,5,10,21.675350817971314,11.880490071847449,55.963601894074166,2072896.7130959276,315858.8354758828,15.237557832977556,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,inference,wall_time_sec,seconds,5,10,24.373664794808946,12.995550061424897,61.364440404187484,1.6873270804600906,0.5808772086377799,34.425880753326716,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,training,absolute_peak_rss_mib,MiB,5,10,0.1293640017312536,0.13926126747073764,0.1537207884016731,167.064609375,0.25638864627642044,0.15346676189265201,low,False,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,training,incremental_peak_rss_mib,MiB,5,10,33.793617254889746,37.15737627228061,37.15737627228061,0.15250000000000002,0.01369306393762915,8.979058319756819,high,False,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,training,per_operation_latency_sec,seconds/operation,5,10,19.690592443750184,21.13760092448359,21.84160844629046,0.11586775058025522,0.02904620607819175,25.068412852351905,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,training,per_record_latency_sec,seconds/record,5,10,19.69059244375018,21.13760092448359,21.841608446290458,4.13813394929483e-06,1.0373645027925626e-06,25.068412852351905,high,True,20.0,False
V0.7-E,decision_tree,pairwise_correlation_filter_natural,training,process_cpu_time_sec,seconds,5,10,20.28106819286283,21.502147907817108,22.734895952028232,0.12261531421999998,0.031584298181761894,25.758852703417148,high,True,20.0,False
