calibration_id,environment_id,classifier,configuration_id,seed,phase,candidate_order,inner_operation_count,wall_time_sec,target_duration_sec,target_reached,selected_for_anchor,frozen_for_main_matrix,worker_pid,warmup_calls,measurement_kind,measurement_scope,time_unit,workload_sha256,model_sha256,excluded_from_main_observations
v07d_calibration__decision_tree__mutual_information_select_k_best_k11__s42__n8,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,mutual_information_select_k_best_k11,42,inference,4,8,0.01681396000094537,1.0,False,False,False,6983,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,1e43e0655ec53978be4df11931c10f03c531ac893538e6fd3390c8124b7d593c,True
v07d_calibration__decision_tree__mutual_information_select_k_best_k11__s42__n16,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,mutual_information_select_k_best_k11,42,inference,5,16,0.03888337500029593,1.0,False,False,False,6986,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,1e43e0655ec53978be4df11931c10f03c531ac893538e6fd3390c8124b7d593c,True
v07d_calibration__decision_tree__mutual_information_select_k_best_k11__s42__n32,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,mutual_information_select_k_best_k11,42,inference,6,32,0.10648294000020542,1.0,False,False,False,6990,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,1e43e0655ec53978be4df11931c10f03c531ac893538e6fd3390c8124b7d593c,True
v07d_calibration__decision_tree__mutual_information_select_k_best_k11__s42__n64,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,mutual_information_select_k_best_k11,42,inference,7,64,0.13036808600008953,1.0,False,False,False,6993,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,1e43e0655ec53978be4df11931c10f03c531ac893538e6fd3390c8124b7d593c,True
v07d_calibration__decision_tree__mutual_information_select_k_best_k11__s42__n128,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,mutual_information_select_k_best_k11,42,inference,8,128,0.21183721800116473,1.0,False,False,False,6997,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,1e43e0655ec53978be4df11931c10f03c531ac893538e6fd3390c8124b7d593c,True
v07d_calibration__decision_tree__mutual_information_select_k_best_k11__s42__n256,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,mutual_information_select_k_best_k11,42,inference,9,256,0.5551341150003282,1.0,False,False,False,7000,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,1e43e0655ec53978be4df11931c10f03c531ac893538e6fd3390c8124b7d593c,True
v07d_calibration__decision_tree__mutual_information_select_k_best_k11__s42__n512,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,mutual_information_select_k_best_k11,42,inference,10,512,1.2008977590012364,1.0,True,True,True,7003,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,1e43e0655ec53978be4df11931c10f03c531ac893538e6fd3390c8124b7d593c,True
v07d_calibration__logistic_regression__none_natural__s42__n1,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,1,1,0.006532827999762958,1.0,False,False,False,7007,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n2,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,2,2,0.005755205998866586,1.0,False,False,False,7010,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
v07d_calibration__logistic_regression__none_natural__s42__n4,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,logistic_regression,none_natural,42,inference,3,4,0.014058098999157664,1.0,False,False,False,7014,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e3bc8ae3d91d93478dc6b6f44514bb0ba1be16ac298127ee0468d5e2725e0a49,True
