stage,comparison_tier,classifier,phase,metric,unit,candidate_configuration_id,reference_configuration_id,candidate_mean,reference_mean,mean_difference,std_difference,mean_percent_change,ci95_low,ci95_high,n,df,t_critical,aggregation_hierarchy
V1.0-F,primary,decision_tree,inference,throughput_records_sec,records/second,HYBRID-K13,K43,1760296.3049618949,1777783.6847630553,-17487.379801160518,728747.3245501522,5.407679383882782,-922346.6621978369,887371.9025955158,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,wall_time_sec,seconds,HYBRID-K13,K43,2.136684592279926,2.115932733499794,0.02075185878013146,1.0289026406949353,9.662819954499264,-1.256799459421919,1.2983031769821818,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,absolute_peak_rss_mib,MiB,HYBRID-K13,K43,166.676640625,186.00875000000002,-19.332109374999998,0.12096464892298806,-10.39309356601383,-19.48230681893214,-19.181911931067855,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,incremental_peak_rss_mib,MiB,HYBRID-K13,K43,9.0175,21.895,-12.877500000000001,0.013693063937629184,-58.81480908204518,-12.894502183872255,-12.860497816127747,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,inference_latency_sec,seconds,HYBRID-K13,K43,0.056675407739821826,0.2503962959197815,-0.19372088817995975,0.04266686600617721,-77.10318516789945,-0.2466987976087136,-0.1407429787512059,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,per_record_latency_sec,seconds,HYBRID-K13,K43,2.0241217049936363e-06,8.942724854277912e-06,-6.918603149284276e-06,1.5238166430777575e-06,-77.10318516789945,-8.810671343168342e-06,-5.0265349554002094e-06,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,process_cpu_time_sec,seconds,HYBRID-K13,K43,0.058288797260000025,0.25882071764,-0.20053192037999995,0.044302555508162915,-77.2327029950084,-0.25554080649865685,-0.14552303426134305,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,throughput_records_sec,records/second,HYBRID-K13,K43,511223.0694669594,116942.7014486439,394280.3680183155,64096.63298313054,343.58231644383187,314693.8894525651,473866.84658406593,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,training,wall_time_sec,seconds,HYBRID-K13,K43,0.056675407739821826,0.2503962959197815,-0.19372088817995975,0.04266686600617721,-77.10318516789945,-0.2466987976087136,-0.1407429787512059,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,absolute_peak_rss_mib,MiB,HYBRID-K13,K43,155.497890625,157.008359375,-1.5104687499999954,0.13418250201742718,-0.9619562923109838,-1.6770783256312043,-1.3438591743687864,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,incremental_peak_rss_mib,MiB,HYBRID-K13,K43,0.4025,0.3975,0.004999999999999982,0.04889401803901986,1.8068356374807941,-0.055709939626314105,0.06570993962631407,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,inference_latency_sec,seconds,HYBRID-K13,K43,0.003690489187889625,0.003390208371211543,0.00030028081667808225,0.002003371357753606,9.523767832847064,-0.002187233179026788,0.0027877948123829527,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,per_record_latency_sec,seconds,HYBRID-K13,K43,6.150815313149375e-07,5.650347285352571e-07,5.004680277968045e-08,3.338952262922677e-07,9.523767832847074,-3.645388631711313e-07,4.646324687304922e-07,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,process_cpu_time_sec,seconds,HYBRID-K13,K43,1.9321850262399998,1.7595106622599999,0.17267436397999983,1.0573146878511022,10.706830875901359,-1.1401551689544607,1.4855038969144605,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,throughput_records_sec,records/second,HYBRID-K13,K43,2370661.682186031,1927047.4398320455,443614.24235398526,823411.2350560456,22.402363184100672,-578785.8051934948,1466014.2899014652,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,logistic_regression,inference,wall_time_sec,seconds,HYBRID-K13,K43,1.889530464199488,1.73578668606031,0.1537437781391781,1.0257261351698463,9.523767832847064,-1.1198633876617154,1.4273509439400718,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,absolute_peak_rss_mib,MiB,HYBRID-K13,BPSO-K10,160.615390625,159.81578125000001,0.799609375,0.0688990970281102,0.5003309638428232,0.7140598499528664,0.8851589000471335,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,incremental_peak_rss_mib,MiB,HYBRID-K13,BPSO-K10,2.8825000000000003,2.6475,0.23500000000000004,0.016298006013006648,8.878279363504046,0.21476335345789532,0.25523664654210476,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,inference_latency_sec,seconds,HYBRID-K13,BPSO-K10,0.032311668200709395,0.03693713107990334,-0.004625462879193945,0.0015543983846810273,-12.515844794671953,-0.006555503319190417,-0.002695422439197474,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,per_record_latency_sec,seconds,HYBRID-K13,BPSO-K10,1.1539881500253353e-06,1.3191832528536907e-06,-1.6519510282835533e-07,5.5514228024322435e-08,-12.515844794671965,-2.341251185425151e-07,-9.626508711419559e-08,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,process_cpu_time_sec,seconds,HYBRID-K13,BPSO-K10,0.03296869539999999,0.037629184920000024,-0.00466048952000003,0.0014626948683251085,-12.393815827436658,-0.006476665009542941,-0.0028443140304571205,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,throughput_records_sec,records/second,HYBRID-K13,BPSO-K10,880020.5707267126,768907.5364847822,111113.03424193042,34466.59219570591,14.440176360336858,68317.10919326285,153908.959290598,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,wall_time_sec,seconds,HYBRID-K13,BPSO-K10,0.032311668200709395,0.03693713107990334,-0.004625462879193945,0.0015543983846810273,-12.515844794671953,-0.006555503319190417,-0.002695422439197474,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
