stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V1.0-F,decision_tree,HYBRID-K13,training,absolute_peak_rss_mib,MiB,5,160.615390625,0.09053344310965654,160.480859375,160.716796875,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,incremental_peak_rss_mib,MiB,5,2.8825000000000003,0.006846531968814674,2.875,2.8875,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,inference_latency_sec,seconds,5,0.032311668200709395,0.001563903166921679,0.03016858230039361,0.03393492970135412,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,monotonic_elapsed_sec,seconds,5,13.699084523460623,0.42224190464547073,13.18049918770048,14.340329604301223,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,per_record_latency_sec,seconds,5,1.1539881500253353e-06,5.585368453291716e-08,1.0774493678712002e-06,1.2119617750483615e-06,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,process_cpu_time_sec,seconds,5,0.03296869539999999,0.0016516715833891883,0.03095454700000002,0.034966173099999984,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,standby_gap_sec,seconds,5,7.461950008291752e-07,2.2410523893495682e-07,5.678601155523211e-07,1.0378404112998397e-06,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,throughput_records_sec,records/second,5,880020.5707267126,39072.45073868678,836720.6914360326,933701.1818577138,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,wall_clock_elapsed_sec,seconds,5,13.539628758430482,0.38466775613044535,13.18050012588501,14.101708579063416,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,training,wall_time_sec,seconds,5,0.032311668200709395,0.001563903166921679,0.03016858230039361,0.03393492970135412,13,2912132,2912000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,absolute_peak_rss_mib,MiB,5,157.83234375,0.11387854386979802,157.6515625,157.95703125,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,incremental_peak_rss_mib,MiB,5,0.4175,0.01895718861012887,0.3875,0.4375,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,inference_latency_sec,seconds,5,0.0057713953371902,0.003246114203104082,0.0031552122160121597,0.01135377942090372,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,monotonic_elapsed_sec,seconds,5,23.62086789193927,9.175184925956913,15.193287332799809,38.109191108495,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,per_record_latency_sec,seconds,5,9.618992228650332e-07,5.410190338506805e-07,5.258687026686933e-07,1.8922965701506202e-06,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,process_cpu_time_sec,seconds,5,3.0453859481000003,1.7366498605891958,1.628408056,6.0185284281,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,standby_gap_sec,seconds,5,5.099734698887915e-07,2.4781199862981584e-07,1.6121193766593933e-07,7.601091056130827e-07,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,throughput_records_sec,records/second,5,1466363.4459015634,570285.1375446407,669810.367379897,2075593.8699003123,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,wall_clock_elapsed_sec,seconds,5,23.16011465072632,8.88764103283755,14.958461046218872,37.09943804740906,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,inference,wall_time_sec,seconds,5,2.9549544126413823,1.66201047198929,1.6154686545982258,5.813135063502704,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,training,absolute_peak_rss_mib,MiB,5,170.06117187499999,0.05711052388549368,170.012890625,170.151171875,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,K42,training,incremental_peak_rss_mib,MiB,5,0.14500000000000002,0.011180339887498945,0.1375,0.1625,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
