scenario_id,attack_type,attack_rate,attack_severity,classifier,comparison_type,configuration_id,reference_configuration_id,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,baseline_mean,configuration_mean,margin_percent,relative_degradation_percent,descriptively_preserved,rate_scenario,selection_performed,scenario_configuration_preserved
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.001052257197569889,0.0034619250538470685,-0.005350804901414838,0.00324629050627506,0.08982694328656964,0.08877468608899974,5.0,1.1714271454311178,True,False,False,False
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.05799999999999998,0.026520432374554783,0.025070533903691572,0.09092946609630839,0.43133333333333335,0.4893333333333333,10.0,0.0,True,False,False,False
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.04983721662591921,0.04983721662591921,5.0,0.0,True,False,False,True
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.04995313683609929,0.04995313683609929,5.0,0.0,True,False,False,True
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.14933333333333332,0.14933333333333332,10.0,0.0,True,False,False,True
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0001796981463113731,0.0005789017902844936,-0.0008984996578039056,0.0005391033651811594,0.04983721662591921,0.04965751847960783,5.0,0.36057018926278017,True,False,False,False
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.0042273660445444755,0.02534590064024255,-0.0356984583716084,0.027243726282519448,0.04995313683609929,0.04572577079155481,5.0,8.462663833133941,False,False,False,False
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.007333333333333333,0.021653842358548954,-0.03422012981274462,0.019553463146077952,0.14933333333333332,0.142,10.0,4.910714285714285,True,False,False,False
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,-1.5499608956581756e-07,8.419897181522967e-07,-1.2004644094540896e-06,8.904722303224546e-07,0.052908373276762524,0.05290821828067296,5.0,0.0002929519090606401,True,False,False,True
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.0928582072187132,0.0928582072187132,5.0,0.0,True,False,False,True
