scenario_id,attack_type,attack_rate,attack_severity,configuration_id,comparison_type,classifier,reference_classifier,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,reference_configuration_id
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.3473333333333333,0.1292370775831078,0.18686430686519412,0.5078023598014725,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.0030711566508433196,0.004144872313842899,-0.002075382078411031,0.00821769538009767,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.04290507038261391,0.04208196060344555,-0.009346585072555105,0.09515672583778292,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.29800000000000004,0.14677268895207385,0.11575763620850577,0.4802423637914943,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.0030710016547537537,0.004144583220594683,-0.0020751781178221635,0.00821718142732967,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.04290507038261391,0.04208196060344555,-0.009346585072555105,0.09515672583778292,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.29800000000000004,0.14677268895207385,0.11575763620850577,0.4802423637914943,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.00013855048581153245,0.0033892471213201564,-0.004346856617373861,0.004069755645750795,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.04481531190595572,0.039628811496062996,-0.004390356620348264,0.0940209804322597,
timestamp_manipulation__r0p05__medium,timestamp_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.35733333333333334,0.1224381930245261,0.2053062370495352,0.5093604296171315,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.002889711209767462,0.004731719505665238,-0.002985494550020245,0.00876491696955517,
geographic_route_manipulation__r0p05__medium,geographic_route_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.03987380645047035,0.042279727637743784,-0.012623409211218503,0.09237102211215921,
