classifier,configuration_id,scenario_id,attack_type,attack_rate,attack_severity,metric,count,mean,std,min,max,ci95_low,ci95_high
logistic_regression,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.42866666666666664,0.054853339815264586,0.37,0.5166666666666667,0.3605572494367614,0.4967760838965719
logistic_regression,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
logistic_regression,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.08944442325542049,0.0076298937486982835,0.08093914118010503,0.09946236559139784,0.07997065887753434,0.09891818763330663
decision_tree,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
decision_tree,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.242,0.16922371780181011,0.05,0.44666666666666666,0.031881001963131955,0.45211899803686806
decision_tree,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.1256740424064138,0.045413722105719645,0.0911854103343465,0.20512820512820512,0.06928545864326648,0.18206262616956115
logistic_regression,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
logistic_regression,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.42866666666666664,0.054853339815264586,0.37,0.5166666666666667,0.3605572494367614,0.4967760838965719
logistic_regression,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
logistic_regression,pairwise_correlation_filter_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.08944442325542049,0.0076298937486982835,0.08093914118010503,0.09946236559139784,0.07997065887753434,0.09891818763330663
decision_tree,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
decision_tree,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.23333333333333334,0.15461421524412158,0.07,0.41333333333333333,0.041354428654027386,0.4253122380126393
decision_tree,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
decision_tree,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.13229651406661685,0.04316706362732716,0.09955841027699719,0.2066869300911854,0.07869752525235094,0.18589550288088277
logistic_regression,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
logistic_regression,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.48133333333333334,0.05630275304103698,0.41333333333333333,0.5466666666666666,0.41142423188246463,0.551242434784202
logistic_regression,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
logistic_regression,mutual_information_select_k_best_k11,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.08749327012230694,0.004919998454330763,0.08033169214822493,0.09213483146067415,0.08138428517034141,0.09360225507427247
decision_tree,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_recall,0,,,,,,
decision_tree,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_attack_recall,5,0.14933333333333335,0.17850303452135857,0.0033333333333333335,0.38333333333333336,-0.07230745820213744,0.3709741248688041
decision_tree,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_f1,0,,,,,,
logistic_regression,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_recall,0,,,,,,
logistic_regression,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_attack_recall,5,0.43133333333333335,0.061037329197430934,0.36333333333333334,0.5233333333333333,0.35554547912231166,0.507121187544355
logistic_regression,none_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_f1,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_recall,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_attack_recall,5,0.14933333333333335,0.17850303452135857,0.0033333333333333335,0.38333333333333336,-0.07230745820213744,0.3709741248688041
decision_tree,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_f1,0,,,,,,
logistic_regression,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_recall,0,,,,,,
logistic_regression,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_attack_recall,5,0.43133333333333335,0.061037329197430934,0.36333333333333334,0.5233333333333333,0.35554547912231166,0.507121187544355
logistic_regression,pairwise_correlation_filter_natural,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_f1,0,,,,,,
decision_tree,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_recall,0,,,,,,
decision_tree,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_attack_recall,5,0.142,0.1771628252954515,0.0,0.37333333333333335,-0.0779767019896001,0.3619767019896001
decision_tree,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_f1,0,,,,,,
logistic_regression,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_recall,0,,,,,,
logistic_regression,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,invisible_attack_recall,5,0.4893333333333333,0.06508114592995083,0.41,0.57,0.4085244174702037,0.570142249196463
logistic_regression,mutual_information_select_k_best_k11,shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,visible_attack_f1,0,,,,,,
decision_tree,none_natural,transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,none_natural,transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
