stage,comparison_tier,classifier,phase,metric,unit,candidate_configuration_id,reference_configuration_id,candidate_mean,reference_mean,mean_difference,std_difference,mean_percent_change,ci95_low,ci95_high,n,df,t_critical,aggregation_hierarchy
V0.9-F,primary,logistic_regression,training,absolute_peak_rss_mib,MiB,BGWO,K43,164.833671875,182.445546875,-17.61187500000001,0.04185670367549609,-9.653222532603285,-17.66384696006817,-17.559903039931847,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,incremental_peak_rss_mib,MiB,BGWO,K43,10.52,21.892500000000002,-11.372499999999999,0.03235544776386266,-51.94697014016433,-11.412674593111959,-11.332325406888039,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,inference_latency_sec,seconds,BGWO,K43,0.06942050248093437,0.24062104417884256,-0.1712005416979082,0.030450574974593466,-70.97130037595605,-0.20900992293589118,-0.1333911604599252,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,per_record_latency_sec,seconds,BGWO,K43,2.479303660033371e-06,8.593608720672949e-06,-6.114305060639578e-06,1.0875205348069095e-06,-70.97130037595605,-7.464640104853256e-06,-4.763970016425899e-06,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,process_cpu_time_sec,seconds,BGWO,K43,0.07157113415999997,0.24965860184,-0.17808746768,0.031190190137380953,-71.16695022596915,-0.216815202403346,-0.139359732956654,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,throughput_records_sec,records/second,BGWO,K43,416422.3148302259,120354.26054092238,296068.0542893035,50781.90545839874,248.56918991328376,233013.99291050216,359122.1156681048,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,training,wall_time_sec,seconds,BGWO,K43,0.06942050248093437,0.24062104417884256,-0.1712005416979082,0.030450574974593466,-70.97130037595605,-0.20900992293589118,-0.1333911604599252,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,inference,absolute_peak_rss_mib,MiB,BGWO,K43,154.377734375,155.93328125,-1.5555468750000045,0.16105322371546132,-0.9974892498237267,-1.7555208571052583,-1.3555728928947508,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,inference,incremental_peak_rss_mib,MiB,BGWO,K43,0.4225,0.425,-0.0025000000000000135,0.025617376914898998,-0.28845435297048533,-0.03430817343845419,0.029308173438454158,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,inference,inference_latency_sec,seconds,BGWO,K43,0.002003931067616804,0.002575072185350678,-0.0005711411177338732,0.00026608391312279436,-21.85998886618822,-0.0009015279206414722,-0.00024075431482627408,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,inference,per_record_latency_sec,seconds,BGWO,K43,3.3398851126946737e-07,4.291786975584463e-07,-9.519018628897888e-08,4.434731885379906e-08,-21.85998886618822,-1.5025465344024538e-07,-4.012571913771236e-08,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,inference,process_cpu_time_sec,seconds,BGWO,K43,1.05547064828,1.35954322048,-0.3040725722,0.14378694101673362,-22.025843190185903,-0.4826076335077426,-0.12553751089225743,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,logistic_regression,inference,throughput_records_sec,records/second,BGWO,K43,3131517.2694252087,2440568.560560951,690948.7088642579,115454.7693728962,28.39261168750163,547592.6837446857,834304.7339838301,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
