stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V0.9-F,decision_tree,K42,inference,incremental_peak_rss_mib,MiB,5,0.41,0.029843340965783303,0.3625,0.4375,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,inference_latency_sec,seconds,5,0.002757052817923977,0.0002055243267239756,0.0026352974617140034,0.0031232846490212296,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,monotonic_elapsed_sec,seconds,5,13.774297623599704,0.717790307461655,13.270981083097286,14.900830976299767,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,per_record_latency_sec,seconds,5,4.595088029873295e-07,3.4254054453995956e-08,4.392162436190005e-07,5.205474415035383e-07,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,process_cpu_time_sec,seconds,5,1.4528755551599999,0.11129674855896284,1.3877346300000002,1.6512623220999998,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,standby_gap_sec,seconds,5,1.611744228284806e-06,1.3753490612638698e-06,8.962728315964341e-07,4.067443660460412e-06,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,throughput_records_sec,records/second,5,2214310.0815006616,121551.25444276784,1997666.1210106264,2282115.3588359556,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,wall_clock_elapsed_sec,seconds,5,13.774299235343932,0.7177898506195654,13.270981979370116,14.900832056999207,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,wall_time_sec,seconds,5,1.4116110427770763,0.1052284552826755,1.3492723003975697,1.5991217402988696,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,absolute_peak_rss_mib,MiB,5,166.3803125,0.04538534688546498,166.3546875,166.4609375,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,incremental_peak_rss_mib,MiB,5,0.13999999999999999,0.016298006013006624,0.125,0.1625,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,inference_latency_sec,seconds,5,0.09736915554007283,0.008960717846193688,0.08801769050041912,0.10880734320089687,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,monotonic_elapsed_sec,seconds,5,13.453625714800438,1.7088491290471768,12.198003202598192,15.796137367002666,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,per_record_latency_sec,seconds,5,3.4774698407168864e-06,3.2002563736406026e-07,3.14348894644354e-06,3.885976542889174e-06,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,process_cpu_time_sec,seconds,5,0.10057874034000006,0.009623062262564173,0.09052754630000007,0.11288168560000003,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,standby_gap_sec,seconds,5,1.9860052270814775e-06,1.5278957495213458e-06,8.934686775319278e-07,4.635674122255295e-06,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,throughput_records_sec,records/second,5,295727.75324506825,22947.59185036643,266975.3699998462,319987.48977946583,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,wall_clock_elapsed_sec,seconds,5,13.453627700805663,1.7088484663233166,12.1980051279068,15.796138596534728,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,training,wall_time_sec,seconds,5,0.09736915554007283,0.008960717846193688,0.08801769050041912,0.10880734320089687,42,9408132,9408000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,absolute_peak_rss_mib,MiB,5,156.853203125,0.06846944263827467,156.77734375,156.915234375,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,incremental_peak_rss_mib,MiB,5,0.4125,0.03952847075210475,0.35,0.45,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,inference_latency_sec,seconds,5,0.0029097659087500465,0.0003205415866308654,0.002604156548048309,0.0033262536759735895,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,monotonic_elapsed_sec,seconds,5,13.671757956780201,0.46711017474527705,13.25971919280273,14.206243733798328,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,per_record_latency_sec,seconds,5,4.849609847916744e-07,5.3423597771810925e-08,4.340260913413848e-07,5.54375612662265e-07,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,process_cpu_time_sec,seconds,5,1.5358476068600002,0.17342987719756772,1.3707999276000002,1.7608187898,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,standby_gap_sec,seconds,5,1.009665720630437e-06,6.042318775967078e-08,9.292110917158425e-07,1.0890114936046303e-06,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,throughput_records_sec,records/second,5,2141576.789995687,182656.34227158356,1908136.4838063463,2339851.0125287613,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,wall_clock_elapsed_sec,seconds,5,13.671758966445925,0.4671101900491004,13.259720182418823,14.206244778633117,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,inference,wall_time_sec,seconds,5,1.4898001452800238,0.16411729235500308,1.3333281526007341,1.7030418820984778,43,2064132,2064000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,absolute_peak_rss_mib,MiB,5,166.72390625,0.12307086819646926,166.6046875,166.86484375,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,incremental_peak_rss_mib,MiB,5,0.14750000000000002,0.01854049621773915,0.125,0.175,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,inference_latency_sec,seconds,5,0.09820005996123655,0.008265765873937,0.09084112600103253,0.11187032290181378,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,monotonic_elapsed_sec,seconds,5,13.14972000370064,1.5297833946967951,12.176649812902905,15.835396038998443,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,per_record_latency_sec,seconds,5,3.507144998615591e-06,2.952059240691784e-07,3.244325928608305e-06,3.9953686750647776e-06,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,process_cpu_time_sec,seconds,5,0.10142738927999999,0.00923514441269309,0.09332953529999996,0.1167784868,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K43,training,standby_gap_sec,seconds,5,1.1037822696380317e-06,1.506060571125869e-07,9.973387932404877e-07,1.3475524610839785e-06,43,9632132,9632000,3796,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
