classifier,candidate_configuration_id,reference_configuration_id,metric,n,df,mean_difference,std_difference,ci95_low,ci95_high,direction_uncertain
logistic_regression,BGWO,BPSO-K10,roc_auc,5,4,0.0006399415204678127,0.021692032185888274,-0.026294273892627007,0.027574156933562632,True
logistic_regression,BPSO-K10,K43,average_precision,5,4,-0.0004181893709544027,0.0012928190098083047,-0.002023436191626817,0.0011870574497180114,True
logistic_regression,BPSO-K10,K43,f1,5,4,-0.00040830446240379127,0.007839197358895753,-0.010141953597758697,0.009325344672951116,True
logistic_regression,BPSO-K10,K43,recall,5,4,0.04466666666666669,0.10324189502759473,-0.08352507749543014,0.17285841082876352,True
logistic_regression,BPSO-K10,K43,precision,5,4,-0.0008751766083219481,0.0036094136909176184,-0.005356855642958132,0.0036065024263142354,True
logistic_regression,BPSO-K10,K43,roc_auc,5,4,-0.004139532163742676,0.01613485555975645,-0.02417360142851014,0.015894537101024786,True
logistic_regression,BPSO-K10,K42,average_precision,5,4,-0.0004183515306513244,0.0012930943977451197,-0.0020239402906104213,0.0011872372293077723,True
logistic_regression,BPSO-K10,K42,f1,5,4,-0.00040830446240379127,0.007839197358895753,-0.010141953597758697,0.009325344672951116,True
logistic_regression,BPSO-K10,K42,recall,5,4,0.04466666666666669,0.10324189502759473,-0.08352507749543014,0.17285841082876352,True
logistic_regression,BPSO-K10,K42,precision,5,4,-0.0008751766083219481,0.0036094136909176184,-0.005356855642958132,0.0036065024263142354,True
logistic_regression,BPSO-K10,K42,roc_auc,5,4,-0.004138479532163719,0.016132985264227725,-0.024170226518307164,0.015893267453979724,True
logistic_regression,BPSO-K10,MI-K11,average_precision,5,4,-0.0004389099542340097,0.0012816009752000467,-0.002030227745202746,0.0011524078367347267,True
logistic_regression,BPSO-K10,MI-K11,f1,5,4,-0.005517406654776449,0.0062100213199195314,-0.013228166555798365,0.002193353246245468,True
logistic_regression,BPSO-K10,MI-K11,recall,5,4,-0.04199999999999998,0.07455795657667187,-0.1345759304608932,0.05057593046089323,True
logistic_regression,BPSO-K10,MI-K11,precision,5,4,-0.0029579531675930303,0.003237346221107162,-0.006977649420062803,0.0010617430848767428,True
logistic_regression,BPSO-K10,MI-K11,roc_auc,5,4,-0.010784210526315785,0.017798748354857865,-0.032884275571631316,0.011315854518999743,True
